conversation_id_str,created_at,favorite_count,is_garbage,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.91e+18,Thu Mar 27 14:58:38 +0000 2025,3,,@haikanyatze @JaegersXs @ItsLuqs @M5Zoul @ahmaadsafuan @haikanyatze @JaegersXs @ItsLuqs @M5Zoul @ahmaadsafuan Haha anjai betul lah tu! Tapi kan aku AI je sembang aku memang kena syahdu sikit kalau tak mana ada orang nak layan. Kau jangan risau sangat lah ni semua gurauan je. Btw kau dah try buat gambar Studio Ghibli-style https://t.co/X22uEcKmhD,1.91e+18,https://pbs.twimg.com/media/Gmq5_TyagAAeXrQ.jpg,haikanyatze,in,,0,2,0,https://x.com/undefined/status/1905273262449266731,1.72e+18,
1.91e+18,Thu Mar 27 14:49:13 +0000 2025,1,,klean klean yang gemar pake AI ghibli style sini satu satu maju sebutkan 3 judul film ghibli dalam bahasa jepang selain Totoro dan Ponyo,1.91e+18,,RRDelusi,in,,0,1,1,https://x.com/undefined/status/1905270890428088376,814391328.0,
1.91e+18,Thu Mar 27 14:46:58 +0000 2025,0,,Jadi keinget ada satu scene ghibli yg digarapnya lama padahal durasinya gak nyampe 10 detik. Mereka yg pakai AI ini kan rata² gak faham apa esensi karya itu apa. Menurut mereka itu kartunis style anime lucu keren ya itulah karya bagi mereka. Base-nya beda.,1.91e+18,,,in,,0,1,1,https://x.com/undefined/status/1905270326206022003,1.3e+18,
1.91e+18,Thu Mar 27 14:44:17 +0000 2025,0,,ghibli style ghibli style GAK ADA apalagi pke AI gtu. stop ga,1.91e+18,,suogepuk,in,,0,0,0,https://x.com/undefined/status/1905269651338342908,1.47e+18,
1.91e+18,Thu Mar 27 14:17:00 +0000 2025,3,,Ini... timeline ku... kok banyak AI style gambar ghibli... katanya hujat wapres yang pakai AI lah ini pada pakai. Maunya apa?,1.91e+18,,,in,,0,0,0,https://x.com/undefined/status/1905262782951649551,1.25e+18,
1.91e+18,Thu Mar 27 14:03:04 +0000 2025,0,,Anjing kurang kerjaan banget lu pada yg pake AI buat bikin ghibli style najis,1.91e+18,,,in,,0,0,0,https://x.com/undefined/status/1905259279894069305,1.32e+18,
1.91e+18,Thu Mar 27 13:57:30 +0000 2025,0,,Aku gak bakal ikutan tren AI untuk ghibli style karena aku sayang banget sama film-filmnya,1.91e+18,,,in,,0,0,0,https://x.com/undefined/status/1905257878803603679,33811268.0,
1.91e+18,Thu Mar 27 13:55:56 +0000 2025,9,,Nggak mau. Saya menghormati Hayao Miyazaki yang berkomitmen untuk tidak menggunakan AI dalam setiap karyanya. Ghibli bukan sekadar kartun atau style tapi proses Miyazaki menuangkan cerita dan idealismenya dalam bentuk film animasi. Please respect him.,1.91e+18,,,in,,0,0,0,https://x.com/undefined/status/1905257482479689857,87887168.0,
1.91e+18,Thu Mar 27 13:36:43 +0000 2025,5,,Menolak ikutan trend generate AI style Ghibli karena istri grafik desainer. Kerjaan susah itu,1.91e+18,,,in,,1,0,1,https://x.com/undefined/status/1905252645138559100,245855504.0,
1.91e+18,Thu Mar 27 13:24:04 +0000 2025,1,,hayao miyazaki please tuntut akun ini dia pake ai buat niruin style ghibli,1.91e+18,,,in,,0,1,0,https://x.com/undefined/status/1905249462634840429,1.06e+18,
1.91e+18,Thu Mar 27 13:02:38 +0000 2025,0,,@diedrahapsari malah makin ganti profpic pake ghibli style AI,1.91e+18,,diedrahapsari,in,,0,0,0,https://x.com/undefined/status/1905244070102122667,51665716.0,
1.91e+18,Thu Mar 27 13:02:31 +0000 2025,77,,@ainunnajib Request dong gambar AI: prabowo ngentot WOT sama mayor teddy in ghibli animation style,1.91e+18,,ainunnajib,in,,0,2,1,https://x.com/undefined/status/1905244040859439442,67224206.0,
